protein_id,accession,selected_identity_percent,selected_query_coverage_percent,selected_evalue,selected_bit_score,quality_tier,exact_identity100_coverage100,status,pdb_file,pdbUrl,latestVersion,uniprotId,uniprotDescription,organismScientificName,isReviewed,globalMetricValue,error_message
64fe897d9a94e4a06265c8d50c89536b MCSG-APC103014 A-0,C7M277,100.0,100.0,0.0,738.0,Q1_near_exact,True,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\C7M277.pdb,https://alphafold.ebi.ac.uk/files/AF-C7M277-F1-model_v6.pdb,6,C7M277_ACIFD,Putative type IV secretory pathway VirD4 protein,Acidimicrobium ferrooxidans (strain DSM 10331 / JCM 15462 / NBRC 103882 / ICP),False,76.94,
789553879254abf9122bcdb1677dfea5 SECSG-R07B7.8 A-0,Q21799,100.0,100.0,0.0,724.0,Q1_near_exact,True,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\Q21799.pdb,https://alphafold.ebi.ac.uk/files/AF-Q21799-F1-model_v6.pdb,6,Q21799_CAEEL,Lipase_GDSL domain-containing protein,Caenorhabditis elegans,False,87.19,
2ee9a657c4681aa4bca20993d28032ed SECSG-Pfu-1499439-001 A-0,Q8U0I1,100.0,93.66197183098592,1.23e-91,270.0,Q2_high_confidence,False,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\Q8U0I1.pdb,https://alphafold.ebi.ac.uk/files/AF-Q8U0I1-F1-model_v6.pdb,6,Q8U0I1_PYRFU,DUF2095 domain-containing protein,Pyrococcus furiosus (strain ATCC 43587 / DSM 3638 / JCM 8422 / Vc1),False,74.69,
5bc06faed68c611be9f299d10955edfd MCSG-APC84032 A-0,A0A0Y6CQ45,100.0,100.0,0.0,697.0,Q1_near_exact,True,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\A0A0Y6CQ45.pdb,https://alphafold.ebi.ac.uk/files/AF-A0A0Y6CQ45-F1-model_v6.pdb,6,A0A0Y6CQ45_NEIME,Hemagglutinin,Neisseria meningitidis,False,88.38,
16c24d50685bc0d512ee21d41cdff123 SSGCID-HepyC.19485.a A-0,A0A377IF43,100.0,100.0,2.31e-48,156.0,Q1_near_exact,True,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\A0A377IF43.pdb,https://alphafold.ebi.ac.uk/files/AF-A0A377IF43-F1-model_v6.pdb,6,A0A377IF43_HELPX,Nucleic acid binding transriptional terminator,Helicobacter pylori,False,84.44,
2099d73b8dfb2891d2f7e499fe70be8d MCSG-APC83840 A-0,Q9JYK9,100.0,100.0,1.96e-108,315.0,Q1_near_exact,True,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\Q9JYK9.pdb,https://alphafold.ebi.ac.uk/files/AF-Q9JYK9-F1-model_v6.pdb,6,Q9JYK9_NEIMB,Uncharacterized protein,Neisseria meningitidis serogroup B (strain ATCC BAA-335 / MC58),False,32.34,
2ee963b23250abf146c65a1c3bdbdee2 MCSG-APC23887 A-0,A0A0D6IIP9,100.0,100.0,4.02e-106,308.0,Q1_near_exact,True,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\A0A0D6IIP9.pdb,https://alphafold.ebi.ac.uk/files/AF-A0A0D6IIP9-F1-model_v6.pdb,6,A0A0D6IIP9_SALTM,Membrane protein,Salmonella typhimurium,False,49.69,
4a3a6aef487e005fddfe2f52fad4ea6f SSGCID-PsaeA.18875.a A-0,A0A659BMY8,100.0,100.0,5.99e-157,443.0,Q1_near_exact,True,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\A0A659BMY8.pdb,https://alphafold.ebi.ac.uk/files/AF-A0A659BMY8-F1-model_v6.pdb,6,A0A659BMY8_PSEAI,Protein TonB,Pseudomonas aeruginosa,False,73.5,
3d34938e7ecfe9a5c49c29c9c0469ad8 NYSGRC-024588 A-0,A0A2P7MZE5,89.18,90.23668639053254,0.0,516.0,Q2_high_confidence,False,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\A0A2P7MZE5.pdb,https://alphafold.ebi.ac.uk/files/AF-A0A2P7MZE5-F1-model_v6.pdb,6,A0A2P7MZE5_9CYAN,Topoisomerase,Cyanobium usitatum str. Tous,False,75.88,
c14c9607f622f81643efa698b48449dc 6L81_1 A-1,A8K1E4,100.0,95.96774193548387,4.36e-75,250.0,Q1_near_exact,False,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\A8K1E4.pdb,https://alphafold.ebi.ac.uk/files/AF-A8K1E4-F1-model_v6.pdb,6,A8K1E4_HUMAN,Gamma-tubulin complex component,Homo sapiens,False,66.5,
38fe7d66701c2b1489592172da231dee JCSG-419120 A-1,A0AAX3QYC2,100.0,100.0,4.58e-91,269.0,Q1_near_exact,True,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\A0AAX3QYC2.pdb,https://alphafold.ebi.ac.uk/files/AF-A0AAX3QYC2-F1-model_v6.pdb,6,A0AAX3QYC2_9BACT,Uncharacterized protein,Parabacteroides distasonis,False,48.94,
f9657c6aea39f3184277a4d6de6f19a2 MCSG-APC23803 A-0,A0A0H3JR69,100.0,100.0,3.93e-63,196.0,Q1_near_exact,True,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\A0A0H3JR69.pdb,https://alphafold.ebi.ac.uk/files/AF-A0A0H3JR69-F1-model_v6.pdb,6,A0A0H3JR69_STAAM,Uncharacterized protein,Staphylococcus aureus (strain Mu50 / ATCC 700699),False,94.81,
344b4ac77e57375e153587bd1c1a83ba JCSG-420307 A-1,Q8DRV4,100.0,100.0,5.47e-37,127.0,Q1_near_exact,True,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\Q8DRV4.pdb,https://alphafold.ebi.ac.uk/files/AF-Q8DRV4-F1-model_v6.pdb,6,Q8DRV4_STRMU,Uncharacterized protein,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),False,51.81,
cd30307038893c697b793d3381731277 SSGCID-EbreA.17249.a A-1,A0A1I9VT59,100.0,96.91119691119691,0.0,514.0,Q1_near_exact,False,no_afdb_model,3Dstructure\afdb_correct_to_wrong_2500_structures\A0A1I9VT59.pdb,,,,,,,,AFDB API returned HTTP 404
0dffa5ac513b7617529bd13a2298b8df NYSGRC-023389 A-0,A0A222IF07,100.0,100.0,4.35e-36,124.0,Q1_near_exact,True,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\A0A222IF07.pdb,https://alphafold.ebi.ac.uk/files/AF-A0A222IF07-F1-model_v6.pdb,6,A0A222IF07_RHIML,Uncharacterized protein,Rhizobium meliloti,False,51.34,
05058973351454f46866a2e01467668f JCSG-360709 A-0,H7C642,100.0,100.0,1.89e-61,191.0,Q1_near_exact,True,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\H7C642.pdb,https://alphafold.ebi.ac.uk/files/AF-H7C642-F1-model_v6.pdb,6,H7C642_BORBG,Uncharacterized protein,Borreliella burgdorferi,False,85.31,
878c91a9e17e4cfbcd1356431cd37ea4 MCSG-APC103483 A-0,D0LRC6,100.0,100.0,0.0,807.0,Q1_near_exact,True,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\D0LRC6.pdb,https://alphafold.ebi.ac.uk/files/AF-D0LRC6-F1-model_v6.pdb,6,D0LRC6_HALO1,Peptidase M10A and M12B matrixin and adamalysin,Haliangium ochraceum (strain DSM 14365 / JCM 11303 / SMP-2),False,85.12,
1d1194c3f01224fd8c3953c1a98f1077 SGPP-Tbru019432AAA A-0,Q4FKV6,100.0,98.27586206896551,1.2e-169,475.0,Q1_near_exact,False,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\Q4FKV6.pdb,https://alphafold.ebi.ac.uk/files/AF-Q4FKV6-F1-model_v6.pdb,6,Q4FKV6_TRYB2,Uncharacterized protein,Trypanosoma brucei brucei (strain 927/4 GUTat10.1),False,33.66,
bc81800a6e3ad3d7faa9feb23142bb0c JCSG-370121 A-0,A0A0H3C839,100.0,100.0,2.05e-175,491.0,Q1_near_exact,True,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\A0A0H3C839.pdb,https://alphafold.ebi.ac.uk/files/AF-A0A0H3C839-F1-model_v6.pdb,6,A0A0H3C839_CAUVN,3-oxoacyl-ACP synthase,Caulobacter vibrioides (strain NA1000 / CB15N),False,90.0,
4a9a6efa966f5583b4401c1821dab9a4 SSGCID-PlfaA.17237.a A-1,A0A024V6S3,96.714,98.61111111111111,1.89e-144,411.0,Q1_near_exact,False,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\A0A024V6S3.pdb,https://alphafold.ebi.ac.uk/files/AF-A0A024V6S3-F1-model_v6.pdb,6,A0A024V6S3_PLAFA,Plasmodium RESA N-terminal domain-containing protein,Plasmodium falciparum Vietnam Oak-Knoll (FVO),False,59.19,
e59da144e21082b1856f7ed48a4580e6 JCSG-598 A-0,A0AAE9IXX4,95.588,91.8918918918919,8.45e-37,137.0,Q2_high_confidence,False,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\A0AAE9IXX4.pdb,https://alphafold.ebi.ac.uk/files/AF-A0AAE9IXX4-F1-model_v6.pdb,6,A0AAE9IXX4_CAEBR,Innexin,Caenorhabditis briggsae,False,81.75,
2ba7e544a6a68405e0ffe50328497ace SSGCID-PlbeA.18546.a A-0,A0A0Y9X199,100.0,100.0,2.03e-108,332.0,Q1_near_exact,True,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\A0A0Y9X199.pdb,https://alphafold.ebi.ac.uk/files/AF-A0A0Y9X199-F1-model_v6.pdb,6,A0A0Y9X199_PLABE,"Erythrocyte vesicle protein 1, putative",Plasmodium berghei,False,41.97,
1aad6549fbe91da43e041b213c4428ca SECSG-T06D8.1 A-0,A0A5S9MRP0,100.0,100.0,0.0,3431.0,Q1_near_exact,True,no_afdb_model,3Dstructure\afdb_correct_to_wrong_2500_structures\A0A5S9MRP0.pdb,,,,,,,,AFDB API returned HTTP 404
9c3b81c6265dd18b5d0da8974cbb36b9 MCSG-APC83870 A-0,Q9JZC4,100.0,100.0,4.64e-120,345.0,Q1_near_exact,True,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\Q9JZC4.pdb,https://alphafold.ebi.ac.uk/files/AF-Q9JZC4-F1-model_v6.pdb,6,Q9JZC4_NEIMB,Phage associated protein,Neisseria meningitidis serogroup B (strain ATCC BAA-335 / MC58),False,55.66,
4cdfeda3b769391593ec9b22cab440b8 SGPP-Pfal006563AAA A-0,A0A5K1K8Z4,100.0,100.0,0.0,1033.0,Q1_near_exact,True,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\A0A5K1K8Z4.pdb,https://alphafold.ebi.ac.uk/files/AF-A0A5K1K8Z4-F1-model_v6.pdb,6,A0A5K1K8Z4_PLAF7,"AP2 domain transcription factor AP2-O4, putative",Plasmodium falciparum (isolate 3D7),False,53.25,
67ef68835711f30001d351fa84031118 SSGCID-PlbeA.18599.a A-0,A0A0Z0AUK9,98.795,100.0,1.29e-98,304.0,Q1_near_exact,False,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\A0A0Z0AUK9.pdb,https://alphafold.ebi.ac.uk/files/AF-A0A0Z0AUK9-F1-model_v6.pdb,6,A0A0Z0AUK9_PLABE,serine--tRNA ligase,Plasmodium berghei,False,81.75,
a3a3b8b1a66212400f85b813bab5c5ed JCSG-360712 A-0,O50750,100.0,100.0,5.6e-166,466.0,Q1_near_exact,True,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\O50750.pdb,https://alphafold.ebi.ac.uk/files/AF-O50750-F1-model_v6.pdb,6,O50750_BORBU,Uncharacterized protein,Borreliella burgdorferi (strain ATCC 35210 / DSM 4680 / CIP 102532 / B31),False,76.25,
da8441b70cd3f46784526fca8bc7a18f MCSG-APC103633 A-0,C8XD00,100.0,100.0,0.0,743.0,Q1_near_exact,True,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\C8XD00.pdb,https://alphafold.ebi.ac.uk/files/AF-C8XD00-F1-model_v6.pdb,6,C8XD00_NAKMY,Putative acyl-CoA dehydrogenase-related protein,Nakamurella multipartita (strain ATCC 700099 / DSM 44233 / CIP 104796 / JCM 9543 / NBRC 105858 / Y-104),False,87.12,
947ce7cc0afed79064eea1686d0257d0 ISFI-ISFI1236 A-1,A0A045IB80,100.0,100.0,4.67e-147,416.0,Q1_near_exact,True,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\A0A045IB80.pdb,https://alphafold.ebi.ac.uk/files/AF-A0A045IB80-F1-model_v6.pdb,6,A0A045IB80_MYCTX,RES domain protein,Mycobacterium tuberculosis,False,91.19,
3bb0863c60afe6ce3a0dc8e51be6c184 MCSG-APC84008 A-0,Q9K1M6,100.0,100.0,0.0,639.0,Q1_near_exact,True,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\Q9K1M6.pdb,https://alphafold.ebi.ac.uk/files/AF-Q9K1M6-F1-model_v6.pdb,6,Q9K1M6_NEIMB,Uncharacterized protein,Neisseria meningitidis serogroup B (strain ATCC BAA-335 / MC58),False,81.69,
164fc1e4d2a7aa64efbf095eb7a25a37 NESG-HR3478G A-0,A0AB34H2Z3,100.0,100.0,7.24e-41,141.0,Q1_near_exact,True,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\A0AB34H2Z3.pdb,https://alphafold.ebi.ac.uk/files/AF-A0AB34H2Z3-F1-model_v6.pdb,6,A0AB34H2Z3_ESCRO,BEACH-type PH domain-containing protein,Eschrichtius robustus,False,58.97,
ccd0b2278a9130c86916275676088679 SGPP-Lmaj003805AAA A-0,Q4Q864,99.653,99.31153184165233,0.0,1159.0,Q1_near_exact,False,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\Q4Q864.pdb,https://alphafold.ebi.ac.uk/files/AF-Q4Q864-F1-model_v6.pdb,6,Q4Q864_LEIMA,Uncharacterized protein,Leishmania major,False,67.62,
02314124bc27586d90ae159549cef203 JCSG-360713 A-0,A0A7U3YBM0,100.0,97.89473684210527,1.13e-57,181.0,Q1_near_exact,False,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\A0A7U3YBM0.pdb,https://alphafold.ebi.ac.uk/files/AF-A0A7U3YBM0-F1-model_v6.pdb,6,A0A7U3YBM0_BORBG,Putative plasmid partition protein,Borreliella burgdorferi 118a,False,70.12,
a67eb0d8e9d06d7b798af3904e1c4c19 TB-Rv1344 A-0,A0A045JVN3,100.0,100.0,2.12e-68,209.0,Q1_near_exact,True,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\A0A045JVN3.pdb,https://alphafold.ebi.ac.uk/files/AF-A0A045JVN3-F1-model_v6.pdb,6,A0A045JVN3_MYCTX,ACP,Mycobacterium tuberculosis,False,69.25,
9aced6d944882ff971b4984630c76cb7 NYSGRC-009564 A-0,Q82PT7,100.0,100.0,1.02e-113,328.0,Q1_near_exact,True,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\Q82PT7.pdb,https://alphafold.ebi.ac.uk/files/AF-Q82PT7-F1-model_v6.pdb,6,Q82PT7_STRAW,VOC domain-containing protein,Streptomyces avermitilis (strain ATCC 31267 / DSM 46492 / JCM 5070 / NBRC 14893 / NCIMB 12804 / NRRL 8165 / MA-4680),False,83.88,
796c22c2e1ec8d842793534714397f2f JCSG-465 A-0,Q9TZC7,100.0,100.0,6.77e-63,209.0,Q1_near_exact,True,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\Q9TZC7.pdb,https://alphafold.ebi.ac.uk/files/AF-Q9TZC7-F1-model_v6.pdb,6,Q9TZC7_CAEEL,Membralin,Caenorhabditis elegans,False,69.06,
6e39d5f25822ccd4b25d2da41c84416c SGPP-Tcru008372AAA A-0,Q4DA44,100.0,98.5239852398524,0.0,552.0,Q1_near_exact,False,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\Q4DA44.pdb,https://alphafold.ebi.ac.uk/files/AF-Q4DA44-F1-model_v6.pdb,6,Q4DA44_TRYCC,4-oxalocrotonate decarboxylase,Trypanosoma cruzi (strain CL Brener),False,91.5,
6d986469185b2c2ef2f5d04ccb507d19 SGPP-Lmaj006155AAA A-0,Q4Q0C1,100.0,99.28698752228165,0.0,1157.0,Q1_near_exact,False,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\Q4Q0C1.pdb,https://alphafold.ebi.ac.uk/files/AF-Q4Q0C1-F1-model_v6.pdb,6,Q4Q0C1_LEIMA,Rab-GAP TBC domain-containing protein,Leishmania major,False,78.12,
5747e92dd513faeb415bcc9e6554e6e2 NESG-YR120 A-0,A0A6C1DUS2,100.0,100.0,0.0,1268.0,Q1_near_exact,True,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\A0A6C1DUS2.pdb,https://alphafold.ebi.ac.uk/files/AF-A0A6C1DUS2-F1-model_v6.pdb,6,A0A6C1DUS2_SACPS,Phosphatidylinositol 4-kinase,Saccharomyces pastorianus,False,68.94,
1c0a86189ef348ea5da3807710ad7657 5ZT0_2 A-1,A0A2R9AP01,98.667,100.0,7.38e-44,152.0,Q1_near_exact,False,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\A0A2R9AP01.pdb,https://alphafold.ebi.ac.uk/files/AF-A0A2R9AP01-F1-model_v6.pdb,6,A0A2R9AP01_PANPA,Protein phosphatase 1 regulatory subunit,Pan paniscus,False,68.12,
3a69337288a1cf85ad92403c023faef4 MCSG-APC40482 A-0,A0A0E2CZN8,100.0,100.0,0.0,520.0,Q1_near_exact,True,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\A0A0E2CZN8.pdb,https://alphafold.ebi.ac.uk/files/AF-A0A0E2CZN8-F1-model_v6.pdb,6,A0A0E2CZN8_LEPIR,Ribosomal RNA small subunit methyltransferase E,Leptospira interrogans str. UI 12758,False,92.25,
ca4e53b41acae77477e89fb7be6fc66e SECSG-Pfu-1511908-001 A-0,A0A5C0XR82,100.0,96.05263157894737,3.63e-159,448.0,Q1_near_exact,False,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\A0A5C0XR82.pdb,https://alphafold.ebi.ac.uk/files/AF-A0A5C0XR82-F1-model_v6.pdb,6,A0A5C0XR82_PYRFU,Uncharacterized protein,Pyrococcus furiosus (strain ATCC 43587 / DSM 3638 / JCM 8422 / Vc1),False,91.19,
87fb0bd1b97ef002cd1f84c1109c2f20 JCSG-376451 A-0,Q737R1,100.0,100.0,3.97e-87,258.0,Q1_near_exact,True,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\Q737R1.pdb,https://alphafold.ebi.ac.uk/files/AF-Q737R1-F1-model_v6.pdb,6,Q737R1_BACC1,Methyltransferase domain-containing protein,Bacillus cereus (strain ATCC 10987 / NRS 248),False,72.38,
ac9dc33417446182c46b611536e756de SECSG-Pfu-159494-001 A-0,A0A5C0XMV9,100.0,96.6789667896679,0.0,509.0,Q1_near_exact,False,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\A0A5C0XMV9.pdb,https://alphafold.ebi.ac.uk/files/AF-A0A5C0XMV9-F1-model_v6.pdb,6,A0A5C0XMV9_PYRFU,Uncharacterized protein,Pyrococcus furiosus (strain ATCC 43587 / DSM 3638 / JCM 8422 / Vc1),False,93.19,
c8451cb695488943cb8f1257cb66dab1 SSGCID-EnhiA.17850.a A-0,C4M266,100.0,98.5539488320356,0.0,1752.0,Q1_near_exact,False,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\C4M266.pdb,https://alphafold.ebi.ac.uk/files/AF-C4M266-F1-model_v6.pdb,6,C4M266_ENTH1,Uncharacterized protein,Entamoeba histolytica (strain ATCC 30459 / HM-1:IMSS / ABRM),False,46.53,
96d7932741103dc80d46a7c6bda4e943 SSGCID-PlbeA.18592.a A-0,A0A113SHM4,100.0,100.0,8.32e-31,122.0,Q1_near_exact,True,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\A0A113SHM4.pdb,https://alphafold.ebi.ac.uk/files/AF-A0A113SHM4-F1-model_v6.pdb,6,A0A113SHM4_PLABE,SSD domain-containing protein,Plasmodium berghei,False,56.22,
3ca728f4d924733947f898178fe7b368 JCSG-232643 A-0,G5EG54,100.0,100.0,5.2e-17,81.6,Q1_near_exact,True,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\G5EG54.pdb,https://alphafold.ebi.ac.uk/files/AF-G5EG54-F1-model_v6.pdb,6,G5EG54_CAEEL,Choline/carnitine acyltransferase domain-containing protein,Caenorhabditis elegans,False,94.56,
fa3a2058f9952579c2f030842399e5e8 SECSG-R05H10.3 A-0,G5EDL4,100.0,100.0,0.0,1208.0,Q1_near_exact,True,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\G5EDL4.pdb,https://alphafold.ebi.ac.uk/files/AF-G5EDL4-F1-model_v6.pdb,6,G5EDL4_CAEEL,Dot/Icm T4SS effector,Caenorhabditis elegans,False,87.62,
bc488bfbc76cdfb46c32b90875aa136a SECSG-T05E7.3 A-0,O01858,100.0,100.0,0.0,2048.0,Q1_near_exact,True,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\O01858.pdb,https://alphafold.ebi.ac.uk/files/AF-O01858-F1-model_v6.pdb,6,O01858_CAEEL,WASH complex subunit strumpellin,Caenorhabditis elegans,False,84.31,
acdf14a08edbfb41850f8c28ca1c9e02 MCSG-APC27103 A-0,A0A0H3AEW7,100.0,100.0,2.79e-79,237.0,Q1_near_exact,True,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\A0A0H3AEW7.pdb,https://alphafold.ebi.ac.uk/files/AF-A0A0H3AEW7-F1-model_v6.pdb,6,A0A0H3AEW7_VIBC3,DUF3081 domain-containing protein,Vibrio cholerae serotype O1 (strain ATCC 39541 / Classical Ogawa 395 / O395),False,69.75,
db329acef9fb6614006298302e559100 EFI-550264 A-0,C8XGE1,100.0,100.0,0.0,852.0,Q1_near_exact,True,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\C8XGE1.pdb,https://alphafold.ebi.ac.uk/files/AF-C8XGE1-F1-model_v6.pdb,6,C8XGE1_NAKMY,Extracellular solute-binding protein family 1,Nakamurella multipartita (strain ATCC 700099 / DSM 44233 / CIP 104796 / JCM 9543 / NBRC 105858 / Y-104),False,93.5,
6a62b814674e4fab793e32ff578cc7f5 JCSG-376352 A-1,A0A6N4SRW3,100.0,94.04761904761905,4.34e-113,327.0,Q2_high_confidence,False,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\A0A6N4SRW3.pdb,https://alphafold.ebi.ac.uk/files/AF-A0A6N4SRW3-F1-model_v6.pdb,6,A0A6N4SRW3_CYTH3,DinB-like domain-containing protein,Cytophaga hutchinsonii (strain ATCC 33406 / DSM 1761 / CIP 103989 / NBRC 15051 / NCIMB 9469 / D465),False,94.94,
76208ea5e1ee39073b2db5b95b5a7309 SGPP-Lmaj007035AAB A-0,Q4QHM1,100.0,98.68421052631578,0.0,603.0,Q1_near_exact,False,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\Q4QHM1.pdb,https://alphafold.ebi.ac.uk/files/AF-Q4QHM1-F1-model_v6.pdb,6,Q4QHM1_LEIMA,Uncharacterized protein,Leishmania major,False,73.88,
bdb8efc6f2215dfa0581f813a82155e4 MCSG-APC25619 A-0,A0A0F6AW30,100.0,100.0,3.19e-135,384.0,Q1_near_exact,True,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\A0A0F6AW30.pdb,https://alphafold.ebi.ac.uk/files/AF-A0A0F6AW30-F1-model_v6.pdb,6,A0A0F6AW30_SALT1,Putative outer membrane protein,Salmonella typhimurium (strain 14028s / SGSC 2262),False,81.81,
57727c214faeaa75d0f8df2727bf6e1e BSGI-Z5897_ECO57 A-0,A0A0H3JRX1,100.0,100.0,0.0,2310.0,Q1_near_exact,True,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\A0A0H3JRX1.pdb,https://alphafold.ebi.ac.uk/files/AF-A0A0H3JRX1-F1-model_v6.pdb,6,A0A0H3JRX1_ECO57,Uncharacterized protein,Escherichia coli O157:H7,False,77.19,
56e2ecd6319614b96d873aa4eca9b475 SECSG-Pfu-256063-001 A-0,A0A5C0XMD4,100.0,100.0,0.0,619.0,Q1_near_exact,True,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\A0A5C0XMD4.pdb,https://alphafold.ebi.ac.uk/files/AF-A0A5C0XMD4-F1-model_v6.pdb,6,A0A5C0XMD4_PYRFU,Lrp/AsnC family transcriptional regulator,Pyrococcus furiosus (strain ATCC 43587 / DSM 3638 / JCM 8422 / Vc1),False,90.56,
98ce76b056f2f2395eb6184fcc72c635 JCSG-383823 A-0,Q72A42,100.0,100.0,2.14e-94,278.0,Q1_near_exact,True,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\Q72A42.pdb,https://alphafold.ebi.ac.uk/files/AF-Q72A42-F1-model_v6.pdb,6,Q72A42_NITV2,Lipoprotein,Nitratidesulfovibrio vulgaris (strain ATCC 29579 / DSM 644 / CCUG 34227 / NCIMB 8303 / VKM B-1760 / Hildenborough),False,71.94,
666d658f13ae0e13ee1b192eb9d0ac8d SECSG-T04C9.3 A-0,Q9GP92,100.0,100.0,3.37e-43,143.0,Q1_near_exact,True,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\Q9GP92.pdb,https://alphafold.ebi.ac.uk/files/AF-Q9GP92-F1-model_v6.pdb,6,Q9GP92_CAEEL,Uncharacterized protein,Caenorhabditis elegans,False,82.75,
5b0290f4c5efbf74609b2742dda44c91 SSGCID-HepyC.19454.a A-0,B5Z8J5,100.0,100.0,1.26e-42,141.0,Q1_near_exact,True,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\B5Z8J5.pdb,https://alphafold.ebi.ac.uk/files/AF-B5Z8J5-F1-model_v6.pdb,6,B5Z8J5_HELPG,Uncharacterized protein,Helicobacter pylori (strain G27),False,64.12,
4ab77381a70cd8516b39dece8913586c MCSG-APC102531 A-0,A0A2U0QR52,100.0,100.0,2.46e-95,280.0,Q1_near_exact,True,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\A0A2U0QR52.pdb,https://alphafold.ebi.ac.uk/files/AF-A0A2U0QR52-F1-model_v6.pdb,6,A0A2U0QR52_CAMJU,Flagellar FliJ protein,Campylobacter jejuni,False,90.81,
b2b61831ca174baa7a3cd8adc73b249e BSGI-KILW_ECO57 A-0,A0A0P0ZD26,100.0,100.0,2.83e-59,185.0,Q1_near_exact,True,no_afdb_model,3Dstructure\afdb_correct_to_wrong_2500_structures\A0A0P0ZD26.pdb,,,,,,,,AFDB API returned HTTP 404
ce33a690fbbc0e1c947e2b655fe52570 MCSG-APC103797 A-0,D2QMC4,100.0,100.0,0.0,872.0,Q1_near_exact,True,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\D2QMC4.pdb,https://alphafold.ebi.ac.uk/files/AF-D2QMC4-F1-model_v6.pdb,6,D2QMC4_SPILD,"Efflux transporter, RND family, MFP subunit",Spirosoma linguale (strain ATCC 33905 / DSM 74 / LMG 10896 / Claus 1),False,79.44,
670a27c05345172bdb4fe1aabe9d2947 SGPP-Tcru000264AAA A-0,A0A2V2X428,100.0,96.5986394557823,4.53e-99,300.0,Q1_near_exact,False,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\A0A2V2X428.pdb,https://alphafold.ebi.ac.uk/files/AF-A0A2V2X428-F1-model_v6.pdb,6,A0A2V2X428_TRYCR,Uncharacterized protein,Trypanosoma cruzi,False,90.81,
